year,itl22cd,nc_year,projected_proportion_continuing
2026,TLJ1,year_group_11,1.00010891555132
2027,TLJ1,year_group_11,1.00010891555132
2028,TLJ1,year_group_11,1.00010891555132
2029,TLJ1,year_group_11,1.00010891555132
2030,TLJ1,year_group_11,1.00010891555132
2031,TLJ1,year_group_11,1.00010891555132
2032,TLJ1,year_group_11,1.00010891555132
2023,TLJ2,year_group_11,0.991542411985534
2024,TLJ2,year_group_11,0.991542411985534
2025,TLJ2,year_group_11,0.991542411985534
2026,TLJ2,year_group_11,0.991542411985534
2027,TLJ2,year_group_11,0.991542411985534
2028,TLJ2,year_group_11,0.991542411985534
2029,TLJ2,year_group_11,0.991542411985534
2030,TLJ2,year_group_11,0.991542411985534
2031,TLJ2,year_group_11,0.991542411985534
2032,TLJ2,year_group_11,0.991542411985534
2023,TLJ3,year_group_11,0.997411672239574
2024,TLJ3,year_group_11,0.997411672239574
2025,TLJ3,year_group_11,0.997411672239574
2026,TLJ3,year_group_11,0.997411672239574
2027,TLJ3,year_group_11,0.997411672239574
2028,TLJ3,year_group_11,0.997411672239574
2029,TLJ3,year_group_11,0.997411672239574
2030,TLJ3,year_group_11,0.997411672239574
2031,TLJ3,year_group_11,0.997411672239574
2032,TLJ3,year_group_11,0.997411672239574
2023,TLJ4,year_group_11,0.986907245303516
2024,TLJ4,year_group_11,0.986907245303516
2025,TLJ4,year_group_11,0.986907245303516
2026,TLJ4,year_group_11,0.986907245303516
2027,TLJ4,year_group_11,0.986907245303516
2028,TLJ4,year_group_11,0.986907245303516
2029,TLJ4,year_group_11,0.986907245303516
2030,TLJ4,year_group_11,0.986907245303516
2031,TLJ4,year_group_11,0.986907245303516
2032,TLJ4,year_group_11,0.986907245303516
2023,TLK1,year_group_11,0.99277710461929
2024,TLK1,year_group_11,0.99277710461929
2025,TLK1,year_group_11,0.99277710461929
