year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2012,TLD4,year_group_2,16637,16597,1.00241007410978
2012,TLD4,year_group_3,16833,16874,0.997570226383786
2012,TLD4,year_group_4,16251,16260,0.999446494464945
2012,TLD4,year_group_5,15663,15661,1.00012770576592
2012,TLD4,year_group_6,15142,15144,0.99986793449551
2012,TLD4,year_group_7,15248,15517,0.982664174776052
2012,TLD4,year_group_8,15314,15245,1.00452607412266
2012,TLD4,year_group_9,15880,15870,1.00063011972275
2013,TLD4,year_group_1,17627,17564,1.00358688225917
2013,TLD4,year_group_10,15949,15880,1.00434508816121
2013,TLD4,year_group_11,15847,15990,0.991056910569106
2013,TLD4,year_group_12,3589,16665,0.215361536153615
2013,TLD4,year_group_13,2798,3392,0.824882075471698
2013,TLD4,year_group_14,1,2826,0.000353857041755131
2013,TLD4,year_group_2,17106,17132,0.99848237216904
2013,TLD4,year_group_3,16597,16637,0.997595720382281
2013,TLD4,year_group_4,16860,16833,1.00160399215826
2013,TLD4,year_group_5,16201,16251,0.996923266260538
2013,TLD4,year_group_6,15659,15663,0.99974462108153
2013,TLD4,year_group_7,14748,15142,0.973979659225994
2013,TLD4,year_group_8,15259,15248,1.00072140608604
2013,TLD4,year_group_9,15319,15314,1.00032649862871
2014,TLD4,year_group_1,17682,17459,1.01277278194627
